Vardas                Pavarde                    ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9    ND10    ND11    ND12    ND13    ND14    ND15    Egz.
Vardas1               Pavarde1                     1       5       8      10       2       7       7       7       3       7       5       7       1       3       8       2
Vardas2               Pavarde2                     3       5       4       2       5       7       9       8      10       4       8       9      10       7       9       9
Vardas3               Pavarde3                     4       6       4       1       9       4       1       1       3       1       2       3       8       3       6       8
Vardas4               Pavarde4                     7       4       4      10       2      10       8       2      10       8       2       1       3       1       1       1
Vardas5               Pavarde5                     4       3      10       4       5       3       1       8       3       7       6       5       7       8       9       7
Vardas6               Pavarde6                     8       5       4       7       7       7       2       8       2       7       8      10       5       6       5       2
Vardas7               Pavarde7                     8       3       6       5       4      10       7       6       2       5      10       8      10       4       7       6
Vardas8               Pavarde8                     2       4       5       4       5       3       4       7       6       9      10       2       9       7       4      10
Vardas9               Pavarde9                     1      10       9      10      10       4       6       7       6      10       9       2       5       7       2      10
Vardas10              Pavarde10                    9       8       3       5       5       4      10       1       2       7       2       6       3       2       4       1
Vardas11              Pavarde11                    1       3       7       8       1       9       9       9       8       5       5       2       4       8       6       3
Vardas12              Pavarde12                    7       9       5       4       1       2       7       9       9       7       6       1      10       3       6      10
Vardas13              Pavarde13                    8       9      10       9       3      10       7      10       4      10      10       8       9       3      10       2
Vardas14              Pavarde14                    1       6       5       8      10       6      10       7       8       7       8       1       5       1       1      10
Vardas15              Pavarde15                    6       8       1       2       9      10      10       6       1       6       8       2       1       4       8       1
Vardas16              Pavarde16                    4      10       9       6       4       8       7       1       3       1       5       8       3       9       6       4
Vardas17              Pavarde17                    4       6       6       5       8      10       8       4       8       7       2       2       8       4      10       6
Vardas18              Pavarde18                    6       8       8       4       7       2       8       3       3       3       7       1       1       6       9      10
Vardas19              Pavarde19                    8       7       9       6       5       3      10       6       3       8       3       8       8       6       8       2
Vardas20              Pavarde20                   10       1      10       2       1       9       6       5       9       4       3      10       3       6       8       2
Vardas21              Pavarde21                    2       1       6       9       4       9      10       2       2       4       9       1       7       9       8       9
Vardas22              Pavarde22                    9       9       6       4      10       9       4       2       1       7       8       5       4       4       4       8
Vardas23              Pavarde23                   10       4       6       7       4       2       2       3       6       6       4       6      10       5       2      10
Vardas24              Pavarde24                    2       5       1       4      10       9       9       7       7       5       8       6       8       8       6       2
Vardas25              Pavarde25                   10      10       9       5       1      10       4      10       8       9       4       5      10       1       2       7
Vardas26              Pavarde26                    9       6       9       4      10       5       4       5      10      10       1       8       3       8       9       8
Vardas27              Pavarde27                   10       7       3       3       9       8       2       1       4       9       3      10       2       7      10       2
Vardas28              Pavarde28                    1       6       7       8       2       5       6       5       6      10       8       3       4       9       4       7
Vardas29              Pavarde29                    9       5       9       8       2       8       3       3       6      10       3       6       7       6       6      10
Vardas30              Pavarde30                    4       2       8       3       2      10       7       4       2       3       9      10       6       2       3       4
Vardas31              Pavarde31                    4       4       4       1      10       5       8       4      10       9       9      10       1       8       2       3
Vardas32              Pavarde32                    4       6       7       5       3       5       1       3       8      10       6       4       1       2       9      10
Vardas33              Pavarde33                    8       1       2       7       4       1       5       1       5       8       5       4       6       3       6       7
Vardas34              Pavarde34                    6       8       7       2       9       6       4       3       4       7       1       3      10       5       9       7
Vardas35              Pavarde35                    3       8       3       1       6      10       8       7       1       5       7       6       2       4       5       7
Vardas36              Pavarde36                    6       4       3       9       2       9       8       2       3       3       2      10       6      10       3       3
Vardas37              Pavarde37                    1       6       3      10       4       9       4       1       1       1      10       4       7       9       4      10
Vardas38              Pavarde38                    8       7       3      10       8      10       4       8       4       1       7       9       2       5       6       5
Vardas39              Pavarde39                    4       4       9       4      10       2       6       8       4       4       8       3       8       3       8       9
Vardas40              Pavarde40                    4       1       7       5       5       6       2       4      10       8      10       3       4       6       6       2
Vardas41              Pavarde41                    3       8       6       7      10       9       8       4       9       2       1       4       6      10       9       4
Vardas42              Pavarde42                    8       5       1       4       6       8       3      10       4       3       6       5       8       6       6      10
Vardas43              Pavarde43                    4       6       3      10       7       4       6       6       4       3       1       4       8       2       3       2
Vardas44              Pavarde44                   10       4       2       1       4       4       1       2       9      10      10       9       6       7       3       6
Vardas45              Pavarde45                    7       1       9       3       8       2       9       2       9       7       4       5       3       4       1       3
Vardas46              Pavarde46                    3       6       9       9       2       3       8       8       8       3       8       5       5       8       3       6
Vardas47              Pavarde47                    9       5       3       7       4      10       6       6       4       1       9       7       7       3       5       1
Vardas48              Pavarde48                   10       5       1       7       4       8       6      10      10       5       6       6       8       4       3       5
Vardas49              Pavarde49                    7       6       7       9       8       3       1       3       3       1       4       2       6       6       9       9
Vardas50              Pavarde50                    8       9       4       8      10       8       8       3       7       2       9       5       6       8       5       1
Vardas51              Pavarde51                    8      10       9       1       5       3       3       8       8       3      10       7       5       6      10       1
Vardas52              Pavarde52                    8       6       6       4      10       5       3       3       9       3       5      10      10       9       8       1
Vardas53              Pavarde53                    6       2       6       4       2       1       2       9       6       3       6       2      10       7       7       7
Vardas54              Pavarde54                    8       7      10       4       4       8       7       3       2       2       4       6       3       3       2       7
Vardas55              Pavarde55                   10       2       6       2       1       6       3      10       3       4       6       5       3      10       4       6
Vardas56              Pavarde56                    2       1       3       8       5       5       1       5       9       9       5       5       5       7       5       5
Vardas57              Pavarde57                    7       9       7       9       2       9       3       2       7       7       4       5       2       9       5       7
Vardas58              Pavarde58                    8       5       2       9       2       5       4       6       5      10       6       2       8       1       2       5
Vardas59              Pavarde59                    1      10       7       8       1       6       1       1       2       2       4       4       3       8       8       9
Vardas60              Pavarde60                   10       9       4       9       3       6       7       3       8       6       5       8       7       8       1       1
Vardas61              Pavarde61                    3       6       5      10       9       5       9      10       8       1       3       9       1       6       6       4
Vardas62              Pavarde62                    7       4       8       6       7       1       4       4       1       2       1       7       1       7       4       3
Vardas63              Pavarde63                    6       3       8       1       6       5       4       4       8       8       7       4       5       9       5       2
Vardas64              Pavarde64                    1       7       6       9       7       7      10       9       8       8       4       2       1       4       9       4
Vardas65              Pavarde65                    7       9       4       4       4       5       7       4       8       8       9       3       6      10       5       3
Vardas66              Pavarde66                   10      10      10       2      10       9       7       9       3       7       7       7       7       7       6       1
Vardas67              Pavarde67                    7       5      10       9       8       6       9       6       2       2       9       1       6       2       3       6
Vardas68              Pavarde68                    1       9       9       8       9       9       9       9       6       1       2       6       7      10       5      10
Vardas69              Pavarde69                    2       1       5       8      10       2       4       6       3      10       1       2       6       4       2       6
Vardas70              Pavarde70                    9       7       3      10       4       6       3       3       8       8       5       1       2       7       5       9
Vardas71              Pavarde71                    3      10       1       1       1       3       7       7       4       3       5       8       7       4       9       9
Vardas72              Pavarde72                    8       1       1       5      10       1       9       7       4       5       8       3      10       6      10       9
Vardas73              Pavarde73                    4       5       5       3       8      10       9       3       8       3       1       4      10       9       9       9
Vardas74              Pavarde74                    5      10       8       2       2       3       5       8       2       4      10       4       8       9       4       8
Vardas75              Pavarde75                    4      10       5       9       1       1       9       6       6       5       5       4       6       7      10       2
Vardas76              Pavarde76                    9       3       4       4       4       9       7       2       5       1       9       7       1       4       1       1
Vardas77              Pavarde77                    7       9       4       1       6       6       9       3       8       2       3       9       1       1      10       1
Vardas78              Pavarde78                    4       3       3      10       6       2       5       2       4       7       5       8       3      10      10       5
Vardas79              Pavarde79                   10       8       3       5      10       2       2       9      10       3       6       2       7       1       5       6
Vardas80              Pavarde80                    9       9       1       5       2       9      10       9       6       7       3       6       2       6       1       8
Vardas81              Pavarde81                    8       5       3       7       8       8       6       2      10       5       7      10       5       2       7       3
Vardas82              Pavarde82                    5       3      10       5       2       1       2       1       6       3       3       8       7       1       5       1
Vardas83              Pavarde83                    7       5       8       4       9       7       8       9       4       9       6       1       9       4       7       8
Vardas84              Pavarde84                    5       6       4       9       3       3       4       4       5      10       6      10       7       3       1       2
Vardas85              Pavarde85                    3       7       1       9       1       1       8       3      10       6       2       4       9       2       7      10
Vardas86              Pavarde86                    3       7       7       7      10       2       4       1       2       3       5       9       7       5       7       9
Vardas87              Pavarde87                    7      10       7       3       9      10       9      10       3       8       9       3       1      10       9       7
Vardas88              Pavarde88                    8       9       1       3       8       4       2       4       4       1       9       9       1       6      10       4
Vardas89              Pavarde89                    3       5       7       9       4       2       7       4       3       6       1       7       1       1       7       6
Vardas90              Pavarde90                    6       4       1       5       6       3       5       2       5      10       8       5       2       8       4       4
Vardas91              Pavarde91                    2       6       9       8       9       5       8       6       9       5       7       9       6       9      10       2
Vardas92              Pavarde92                    1       3       3      10       2       4       9       9       5       8      10       3       7       9       1       2
Vardas93              Pavarde93                    7       4       8       1       7       8       8       5       8       5       6       6       4      10       4       4
